Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Djibouti,DJI,..,709.837309727504,1279.59697672281,1402.37362842979,2072.40741463275,2231.37297522523,2435.53951379549,2554.4509000421,2614.56853480408,2785.07686698735,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Dominica,DMA,2713.05548899893,4073.05418216737,5737.99617837774,5429.57544332499,5568.70358794952,5811.85218547913,5720.13929263293,6211.81360159339,5276.41728150756,5567.53356448392,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Dominican Republic,DOM,900.462464762307,2630.4343571408,5408.59283776072,5580.43770635691,5592.14475538869,5929.18703418879,6281.19165516795,6560.18754267028,6803.61801346351,7197.23241335064,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Ecuador,ECU,1154.8157134488,1084.53737712278,3885.25996758201,4306.67297125843,4656.8963374916,4869.50778662891,4823.5094726464,4743.84906718106,4777.02248239754,4626.43676023861,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Egypt, Arab Rep.",EGY,587.654176159262,1290.34841354989,2342.7966228353,2741.76071165959,2788.58095694833,2911.32580779474,3247.87837700092,3215.25109332311,2165.53477834164,2216.49061461786,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,El Salvador,SLV,843.534157446255,1844.64990352742,2813.53297420083,2917.98627421637,2957.59392663612,3006.71618955462,3079.06523096987,3131.45675001182,3196.97213555341,3314.69966218809,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Equatorial Guinea,GNQ,263.593881944493,-45.0497340364408,4311.39439723575,4376.14444307269,5622.32147870471,5675.39305786691,5347.37202579182,4850.44393882351,4074.28686177425,3881.81905984427,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Eritrea,ERI,..,263.215985558605,452.189657083453,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Estonia,EST,..,3406.05410985423,13914.3096043142,14021.6570242505,15595.4282616414,16522.9995362298,14323.6689348365,14844.5189945593,16736.312577388,19214.4895570302,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Eswatini,SWZ,1237.9961245937,1526.71776006098,3848.53238912529,3863.36255137687,3666.12900086186,3474.7990648272,3192.2987412591,2734.68186792212,3132.78508616193,3216.67202704576,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Ethiopia,ETH,222.999014253112,97.5775828218638,263.711939990475,350.739321260257,373.828311989556,422.798823489422,472.291282097435,520.999230052,547.384042524959,561.981561865175,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Fiji,FJI,1569.33608437553,1866.84136980105,3701.90645748487,3856.36827525248,4204.62971412866,4756.6024341824,4591.39304592313,4800.70242670705,5092.42726676459,5137.37930093148,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Finland,FIN,22301.9944954028,20019.9765263831,41709.4394852431,38691.990139329,40403.3506214207,41063.3661482692,35071.774649311,35799.0537630964,37753.7640765297,41000.9548123646,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,France,FRA,18564.690482361,19294.2619206541,37138.0782582028,34395.2055369419,35867.2567280393,36186.2518338521,30896.2276739375,31182.4688021381,32708.4855742611,34835.0121510307,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Gabon,GAB,3031.81289091577,1750.030470455,5195.93232933056,5137.75769852525,5457.01140054607,6226.06849271271,5205.01172146321,4993.7503253906,4984.08083484168,5205.09943218893,..,..
